Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Days_Since_Customer,Fam_Size,Num_Accepted,MntTotal
2,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,64,3754.0866019844907,3,0,31
4,51381.5,80,81,11,50,3,2,39,1,1,3,4,2,0,0,62,3438.0866019844907,1,0,267
3,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,46,3472.0866019844907,3,0,34
2,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,45,3203.0866019844907,1,0,1107
1,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,1,25,3799.0866019844907,2,0,125
2,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,53,3603.0866019844907,3,0,68
2,51381.5,96,48,5,48,6,10,7,3,2,1,4,6,0,0,70,3381.0866019844907,4,0,172
4,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,67,3800.0866019844907,4,0,2145
2,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,64,3250.0866019844907,2,0,752
3,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,57,3889.0866019844907,2,0,2343
2,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,44,3745.0866019844907,2,0,84
2,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,1,44,3224.0866019844907,1,2,2127
2,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,43,3584.0866019844907,4,0,934
3,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,1,66,3789.0866019844907,2,1,2941
2,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,1,55,3655.0866019844907,1,0,1388
2,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,33,3264.0866019844907,2,0,42
2,51381.5,57,11,3,22,2,2,6,2,2,0,3,6,0,0,39,3579.0866019844907,2,0,57
4,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,53,3320.0866019844907,3,0,965
3,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,39,3562.0866019844907,1,2,2150
2,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,46,3862.0866019844907,4,0,1064
2,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,69,3698.0866019844907,2,0,1407
4,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,70,3585.0866019844907,2,0,1152
2,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,73,3407.0866019844907,2,0,1474
2,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,50,3606.0866019844907,3,0,35
2,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,54,3251.0866019844907,4,0,21
1,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,1,42,3304.0866019844907,2,2,1962
2,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,63,3477.0866019844907,3,0,900
2,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,51,3649.0866019844907,5,0,2418
3,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,67,3858.0866019844907,2,0,1749
1,51381.5,25,25,3,43,17,4,17,3,3,0,3,8,0,0,48,3855.0866019844907,3,0,134
2,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,62,3671.0866019844907,3,0,1121
4,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,0,46,3652.0866019844907,4,1,1226
2,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,69,3262.0866019844907,2,0,79
2,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,44,3759.0866019844907,2,0,15
3,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,1,49,3873.0866019844907,2,0,2611
2,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,45,3827.0866019844907,1,1,3241
1,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,45,3500.0866019844907,2,0,19
2,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,1,56,3745.0866019844907,2,1,1269
2,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,36,3871.0866019844907,2,0,229
2,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,52,3573.0866019844907,3,0,20
1,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,48,3563.0866019844907,3,0,104
3,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,58,3616.0866019844907,2,0,430
2,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,34,3326.0866019844907,1,0,941
2,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,61,3524.0866019844907,4,0,73
3,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,0,51,3550.0866019844907,4,1,281
2,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,64,3234.0866019844907,2,2,664
2,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,48,3250.0866019844907,2,1,1716
2,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,54,3361.0866019844907,3,0,329
4,51381.5,4,230,42,192,49,37,53,12,7,2,8,9,0,0,64,3789.0866019844907,5,0,833
2,51381.5,45,7,0,8,2,0,1,1,1,0,2,7,0,0,64,3235.0866019844907,3,0,25
3,51381.5,87,445,37,359,98,28,18,1,2,4,8,1,0,0,48,3420.0866019844907,2,0,1430
3,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,49,3300.0866019844907,2,0,47
4,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,51,3238.0866019844907,3,0,70
2,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,38,3240.0866019844907,3,0,50
2,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,0,61,3786.0866019844907,2,1,1111
2,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,49,3646.0866019844907,3,0,114
1,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,70,3412.0866019844907,2,1,1185
4,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,38,3576.0866019844907,2,0,545
1,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,61,3543.0866019844907,2,0,125
4,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,62,3293.0866019844907,2,0,96
2,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,42,3637.0866019844907,3,0,1555
4,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,76,3610.0866019844907,2,0,1682
2,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,1,62,3254.0866019844907,2,0,1314
0,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,42,3403.0866019844907,3,0,30
2,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,57,3480.0866019844907,4,0,331
2,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,52,3714.0866019844907,4,0,1205
2,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,43,3759.0866019844907,2,0,221
3,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,61,3771.0866019844907,2,0,1304
2,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,42,3441.0866019844907,3,0,1394
4,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,30,3798.0866019844907,1,1,3152
3,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,0,58,3206.0866019844907,3,1,1135
2,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,30,3745.0866019844907,1,2,1220
4,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,41,3766.0866019844907,3,0,929
2,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,59,3494.0866019844907,3,0,178
2,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,51,3358.0866019844907,2,2,2271
1,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,43,3697.0866019844907,3,0,624
1,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,54,3555.0866019844907,4,0,93
2,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,52,3429.0866019844907,3,0,34
3,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,68,3576.0866019844907,3,0,980
3,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,54,3327.0866019844907,2,0,114
3,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,36,3500.0866019844907,4,0,39
2,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,45,3635.0866019844907,2,0,60
2,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,38,3676.0866019844907,1,3,1857
1,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,56,3698.0866019844907,2,0,721
2,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,1,37,3636.0866019844907,1,0,2373
3,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,68,3223.0866019844907,4,0,160
4,51381.5,23,352,0,27,10,0,15,3,6,1,7,6,0,0,60,3555.0866019844907,3,0,756
4,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,65,3252.0866019844907,4,0,1153
2,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,69,3474.0866019844907,3,0,583
3,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,63,3678.0866019844907,3,0,1166
2,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,52,3341.0866019844907,2,0,961
2,51381.5,96,231,65,196,38,71,124,1,6,5,7,4,0,0,58,3524.0866019844907,3,0,956
4,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,57,3521.0866019844907,4,0,499
4,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,54,3671.0866019844907,2,1,2278
0,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,45,3892.0866019844907,2,0,29
4,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,62,3559.0866019844907,5,0,159
4,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,1,48,3243.0866019844907,3,1,64
4,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,56,3538.0866019844907,3,0,55
3,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,29,3820.0866019844907,1,0,3039
3,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,1,45,3429.0866019844907,3,0,1791
2,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,59,3638.0866019844907,2,0,1784
4,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,47,3507.0866019844907,2,0,1485
2,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,33,3669.0866019844907,3,0,344
2,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,45,3821.0866019844907,4,0,1475
2,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,46,3811.0866019844907,3,0,70
2,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,0,40,3507.0866019844907,3,0,28
1,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,48,3878.0866019844907,5,0,284
3,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,55,3210.0866019844907,2,0,169
3,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,68,3268.0866019844907,4,0,754
2,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,0,52,3316.0866019844907,3,1,806
1,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,49,3764.0866019844907,3,0,662
2,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,33,3250.0866019844907,2,0,94
4,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,69,3830.0866019844907,3,0,1909
2,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,72,3697.0866019844907,2,2,2378
2,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,63,3558.0866019844907,2,0,518
2,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,43,3492.0866019844907,4,0,26
2,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,44,3457.0866019844907,3,0,204
2,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,66,3515.0866019844907,1,0,1767
3,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,63,3565.0866019844907,4,0,18
4,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,76,3803.0866019844907,2,0,3055
2,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,37,3377.0866019844907,3,0,174
4,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,46,3626.0866019844907,1,0,2294
4,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,48,3322.0866019844907,3,0,1628
2,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,55,3430.0866019844907,5,0,106
2,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,68,3425.0866019844907,1,1,546
2,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,62,3507.0866019844907,1,1,471
2,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,33,3441.0866019844907,1,0,1394
2,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,64,3326.0866019844907,4,0,104
2,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,56,3271.0866019844907,4,0,43
2,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,39,3553.0866019844907,3,0,69
2,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,51,3271.0866019844907,4,0,233
4,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,62,3352.0866019844907,4,0,174
2,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,0,54,3288.0866019844907,2,1,178
4,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,46,3857.0866019844907,3,0,2984
4,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,73,3762.0866019844907,2,2,2165
4,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,51,3239.0866019844907,4,0,74
2,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,62,3207.0866019844907,5,0,12
1,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,70,3412.0866019844907,2,1,1185
4,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,45,3251.0866019844907,3,0,343
1,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,33,3252.0866019844907,3,0,69
3,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,75,3476.0866019844907,2,0,1653
3,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,37,3360.0866019844907,3,0,113
0,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,60,3216.0866019844907,2,0,44
2,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,38,3773.0866019844907,3,0,60
4,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,51,3315.0866019844907,2,0,74
2,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,55,3533.0866019844907,3,0,964
2,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,45,3669.0866019844907,2,0,2364
4,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,57,3693.0866019844907,4,0,110
0,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,0,43,3860.0866019844907,3,1,81
4,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,32,3610.0866019844907,2,0,1748
1,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,1,0,121,3478.0866019844907,2,0,80
2,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,33,3597.0866019844907,3,0,114
2,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,48,3698.0866019844907,4,0,550
2,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,44,3384.0866019844907,4,0,41
3,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,41,3249.0866019844907,2,0,1490
2,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,67,3485.0866019844907,2,1,2119
2,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,67,3730.0866019844907,2,0,1614
4,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,1,48,3292.0866019844907,3,1,359
2,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,0,69,3202.0866019844907,2,1,983
2,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,53,3404.0866019844907,1,0,1560
2,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,43,3460.0866019844907,2,0,1737
4,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,44,3806.0866019844907,2,3,2003
4,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,56,3549.0866019844907,3,0,60
3,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,0,1,37,3798.0866019844907,1,1,41
2,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,0,33,3405.0866019844907,3,1,60
3,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,58,3614.0866019844907,3,0,374
2,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,55,3223.0866019844907,3,0,119
2,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,0,1,67,3859.0866019844907,2,1,2974
2,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,65,3657.0866019844907,3,0,313
2,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,67,3305.0866019844907,2,0,1714
4,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,53,3834.0866019844907,4,0,488
3,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,47,3726.0866019844907,4,0,951
2,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,36,3623.0866019844907,2,0,1437
2,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,44,3291.0866019844907,3,0,653
1,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,43,3250.0866019844907,4,0,29
3,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,73,3428.0866019844907,2,2,2691
3,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,67,3504.0866019844907,2,0,467
2,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,41,3794.0866019844907,3,0,1959
1,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,33,3281.0866019844907,3,0,144
2,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,52,3429.0866019844907,2,0,1424
4,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,51,3278.0866019844907,4,0,1234
4,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,41,3742.0866019844907,3,0,340
2,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,0,59,3861.0866019844907,2,0,2142
2,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,43,3662.0866019844907,3,0,320
2,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,45,3814.0866019844907,3,0,873
2,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,0,69,3769.0866019844907,2,0,1890
4,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,49,3892.0866019844907,2,0,2545
4,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,35,3335.0866019844907,3,0,21
2,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,1,55,3668.0866019844907,3,0,664
1,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,59,3742.0866019844907,2,1,2571
2,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,50,3612.0866019844907,3,0,25
2,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,70,3276.0866019844907,1,0,19
4,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,0,56,3665.0866019844907,3,0,1679
1,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,46,3404.0866019844907,3,0,74
3,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,39,3409.0866019844907,3,0,41
4,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,0,63,3470.0866019844907,2,0,1020
2,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,48,3387.0866019844907,2,0,62
1,60182.0,23,8,0,5,7,0,2,1,1,0,2,4,0,0,128,3245.0866019844907,2,0,30
2,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,0,53,3446.0866019844907,1,1,2989
2,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,0,63,3755.0866019844907,3,0,1391
2,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,50,3535.0866019844907,2,0,40
2,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,1,31,3415.0866019844907,2,1,2186
2,61074.0,37,789,0,133,0,28,152,7,11,5,8,7,0,0,63,3883.0866019844907,3,0,1891
4,31686.0,31,11,0,5,0,0,1,2,1,0,3,6,0,0,57,3226.0866019844907,4,0,28
2,80134.0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,49,3607.0866019844907,3,3,2908
2,75027.0,74,925,64,179,133,12,77,2,9,4,6,5,0,0,68,3738.0866019844907,3,0,2315
4,67546.0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,33,3869.0866019844907,2,0,2990
3,65176.0,57,960,28,183,220,70,70,4,9,6,6,6,0,0,52,3810.0866019844907,3,0,2491
3,31160.0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,46,3488.0866019844907,2,0,80
2,29938.0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,36,3447.0866019844907,2,0,29
2,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,47,3652.0866019844907,1,4,1280
1,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,63,3847.0866019844907,2,0,255
2,75702.0,77,650,28,353,45,42,30,5,4,6,11,8,0,0,54,3871.0866019844907,4,0,1798
4,30899.0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,47,3826.0866019844907,2,0,57
4,63342.0,48,918,21,118,13,10,21,3,8,3,5,6,0,0,60,3823.0866019844907,3,1,2019
2,45989.0,97,138,33,87,28,24,12,4,3,2,7,3,0,0,57,3817.0866019844907,2,0,460
2,18701.0,95,12,4,2,10,6,10,4,2,0,4,5,0,0,57,3592.0866019844907,3,0,56
4,40737.0,24,11,0,4,0,0,2,1,1,0,2,8,0,0,64,3405.0866019844907,4,0,28
2,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,0,1,42,3829.0866019844907,2,1,32
